matchday,date,season,apoints,awin,AwayTeam,HomeTeam,FTHG,FTAG,covid19,HAdyad
5,2020-02-16,1819,1,0,Werder Bremen,Hertha,1,1,0,HerthaWerder Bremen
5,2020-02-16,1819,0,0,Hannover,Hoffenheim,3,0,0,HoffenheimHannover
5,2020-02-16,1819,1,0,Freiburg,Schalke 04,0,0,0,Schalke 04Freiburg
5,2020-02-16,1819,3,1,RB Leipzig,Stuttgart,1,3,0,StuttgartRB Leipzig
5,2020-02-16,1819,0,0,Mainz,Wolfsburg,3,0,0,WolfsburgMainz
5,2020-02-17,1819,1,0,M'gladbach,Ein Frankfurt,1,1,0,Ein FrankfurtM'gladbach
5,2020-02-17,1819,0,0,Fortuna Dusseldorf,Leverkusen,2,0,0,LeverkusenFortuna Dusseldorf
5,2020-02-18,1819,1,0,Dortmund,Nurnberg,0,0,0,NurnbergDortmund
6,2020-02-22,1819,1,0,Stuttgart,Werder Bremen,1,1,0,Werder BremenStuttgart
6,2020-02-23,1819,0,0,Hertha,Bayern Munich,1,0,0,Bayern MunichHertha
6,2020-02-23,1819,0,0,Nurnberg,Fortuna Dusseldorf,2,1,0,Fortuna DusseldorfNurnberg
6,2020-02-23,1819,0,0,Augsburg,Freiburg,5,1,0,FreiburgAugsburg
6,2020-02-23,1819,3,1,Wolfsburg,M'gladbach,0,3,0,M'gladbachWolfsburg
6,2020-02-23,1819,0,0,Schalke 04,Mainz,3,0,0,MainzSchalke 04
6,2020-02-24,1819,0,0,Leverkusen,Dortmund,3,2,0,DortmundLeverkusen
6,2020-02-24,1819,3,1,Ein Frankfurt,Hannover,0,3,0,HannoverEin Frankfurt
6,2020-02-25,1819,1,0,Hoffenheim,RB Leipzig,1,1,0,RB LeipzigHoffenheim
7,2020-03-01,1819,0,0,Dortmund,Augsburg,2,1,0,AugsburgDortmund
7,2020-03-02,1819,0,0,Hoffenheim,Ein Frankfurt,3,2,0,Ein FrankfurtHoffenheim
7,2020-03-02,1819,0,0,Mainz,Hertha,2,1,0,HerthaMainz
7,2020-03-02,1819,0,0,Freiburg,Leverkusen,2,0,0,LeverkusenFreiburg
7,2020-03-02,1819,3,1,Bayern Munich,M'gladbach,1,5,0,M'gladbachBayern Munich
7,2020-03-02,1819,3,1,RB Leipzig,Nurnberg,0,1,0,NurnbergRB Leipzig
7,2020-03-02,1819,3,1,Fortuna Dusseldorf,Schalke 04,0,4,0,Schalke 04Fortuna Dusseldorf
7,2020-03-03,1819,0,0,Hannover,Stuttgart,5,1,0,StuttgartHannover
7,2020-03-03,1819,1,0,Werder Bremen,Wolfsburg,1,1,0,WolfsburgWerder Bremen
8,2020-03-08,1819,0,0,Schalke 04,Werder Bremen,4,2,0,Werder BremenSchalke 04
8,2020-03-09,1819,0,0,Wolfsburg,Bayern Munich,6,0,0,Bayern MunichWolfsburg
8,2020-03-09,1819,0,0,Stuttgart,Dortmund,3,1,0,DortmundStuttgart
8,2020-03-09,1819,0,0,Hertha,Freiburg,2,1,0,FreiburgHertha
